D_R	poly_id	objectid	geoid	Violent	Property	SqMi	VCdensity	vclag	PCdensity	pclag	TractID	Id2	Total_Pop	PAIProp	OccuProp	OwnerProp	MandFHH_ch	ForeignPro	EthnHerter	HispProp	Unemployed_Fixed	Inc75K_	BAup	SSIProp	BelowProp	SameProp	Shape_Leng	Shape_Area	FAC1_1	FAC2_1	FAC3_1
 	1	1	17031010100	79	135	0.147132632	536.930516	55.5	917.5394893	236.5	17031010100	17031010100	4444	0.038256228	0.105613306	0.161921708	0.303510759	0.164941494	0.579481604	0.092259226	0.05948689	0.224199288	0.358008934	0.096085409	0.310943061	0.837315131	9313.261224	4101805.959	0.425108492	-0.049065128	-0.986561315
 	2	2	17031010201	47	181	0.194781641	241.2958419	36.25	929.2456892	134	17031010201	17031010201	7197	0.071535581	0.109300096	0.292509363	0.148708255	0.370015284	0.591162981	0.226066417	0.048958519	0.239325843	0.29815614	0.093258427	0.241573034	0.703640742	9303.493589	5430178.772	0.346768457	0.592643727	-0.862265751
 	3	3	17031010202	75	292	0.135802941	552.2708083	42.3333333	2150.174347	131.6666667	17031010202	17031010202	2487	0.06045082	0.105392157	0.268442623	0.177458034	0.38721351	0.646467219	0.288299156	0.044868735	0.214139344	0.315320334	0.081967213	0.203893443	0.822103533	8288.36336	3785953.566	0.322748762	0.832585815	-0.516152283
 	4	4	17031010300	36	181	0.182252187	197.5284938	48.8333333	993.1293717	138.6666667	17031010300	17031010300	6413	0.051307847	0.197523023	0.307511737	0.085632731	0.244191486	0.551424725	0.187743646	0.041556145	0.250838364	0.348850686	0.051307847	0.162307176	0.805511309	9858.645751	5080879.047	-0.11960603	0.153299519	-0.42908733
 	5	5	17031010400	36	107	0.211881446	169.9063349	20.8333333	504.9993842	91.1666667	17031010400	17031010400	5411	0.055080214	0.107022155	0.184491979	0.119444444	0.108113103	0.466461554	0.072075402	0.052895672	0.26684492	0.635730858	0.03315508	0.203208556	0.664044944	14234.69049	5906892.089	-0.140287822	-0.370340051	-1.240786803
 	6	6	17031010501	22	70	0.078053352	281.8584904	32.5	896.8224693	127.25	17031010501	17031010501	4081	0.028960818	0.127435065	0.120528109	0.179180887	0.250183778	0.5969653	0.09703504	0.078232226	0.147359455	0.550493788	0.059199319	0.20229983	0.830922693	6869.002557	2175993.868	-0.071157031	0.33096639	-1.197125501
 	7	7	17031010502	12	70	0.069641771	172.3103796	29.75	1005.143881	92.5	17031010502	17031010502	2631	0.035215947	0.14349277	0.18538206	0.109375	0.256556442	0.555854306	0.064234132	0.032976092	0.166112957	0.520562771	0.074418605	0.222591362	0.754318618	6187.584656	1941493.383	-0.173113709	0.226522344	-1.336214052
 	8	8	17031010503	15	42	0.075011852	199.9684006	26.8	559.9115217	102.4	17031010503	17031010503	2047	0.03336511	0.094262295	0.190657769	0.164658635	0.270639961	0.437886034	0.13727406	0.032545932	0.203050524	0.379839299	0.122020972	0.457578646	0.806710065	5823.421388	2091202.04	0.722188929	0.144868348	-0.855700789
 	9	9	17031010600	46	151	0.191107712	240.7019553	32.125	790.1303314	125.75	17031010600	17031010600	6515	0.021383228	0.145558597	0.210491146	0.130065976	0.244205679	0.565175282	0.229009977	0.090065989	0.244904778	0.471520343	0.059137989	0.227530905	0.839592026	13409.11374	5327755.933	-0.268963265	0.489947941	-0.977543978
 	10	10	17031010701	11	65	0.165904053	66.30338321	38.7142857	391.792719	134.2857143	17031010701	17031010701	3833	0.018954248	0.095508274	0.486928105	0.175324675	0.352726324	0.586595161	0.35455257	0.035498995	0.355555556	0.431117713	0.039215686	0.163398693	0.882010582	8818.618275	4625121.049	-0.343923903	0.842607431	0.169518203
 	11	11	17031010702	35	77	0.138053457	253.5249813	40.5	557.7549589	164	17031010702	17031010702	5333	0.049780381	0.071793127	0.229868228	0.270920502	0.404650291	0.601447339	0.391336959	0.042711696	0.224011713	0.436385256	0.03318692	0.26159102	0.82925912	8326.46293	3848694.089	0.156570718	1.294409076	-1.009870657
 	12	12	17031020100	24	102	0.158811461	151.1225944	22.8	642.2710261	119.4	17031020100	17031020100	4208	0.10041841	0.165308498	0.465132497	0.162531017	0.400665399	0.750050714	0.225047529	0.07543232	0.279637378	0.320270752	0.10320781	0.156903766	0.853255588	8789.139961	4427391.723	0.267444629	0.366936748	0.204543409
 	13	13	17031020200	21	148	0.479533163	43.79259168	17	308.6335032	93	17031020200	17031020200	6905	0	0.122188654	0.751394052	0.085346216	0.310209993	0.546580283	0.164663287	0.049229538	0.527416357	0.468920145	0.021840149	0.100836431	0.923870185	15441.96425	13368563.85	-0.812221733	0.089263226	1.402417838
 	14	14	17031020301	9	67	0.318748443	28.235432	22.5	210.1971049	108.25	17031020301	17031020301	5295	0.023653749	0.134508816	0.725717162	0.043594306	0.339754485	0.342269196	0.077053824	0.040663041	0.348766985	0.57387336	0.058379467	0.154001007	0.888204734	14359.80885	8886161.061	-0.452889868	-0.098917968	1.158096923
 	15	15	17031020302	20	109	0.247078769	80.94584602	23.7142857	441.1548608	94.4285714	17031020302	17031020302	5023	0.029239766	0.123905429	0.562573099	0.158084914	0.278518813	0.478044436	0.144933307	0.084864166	0.458479532	0.555489614	0.08128655	0.142105263	0.885759936	10500.10927	6888133.203	-0.422780714	-0.122815174	0.59546701
 	16	16	17031020400	15	94	0.214450041	69.94636101	24.8571429	438.330529	100.1428571	17031020400	17031020400	4551	0.045897877	0.094164456	0.514056225	0.127358491	0.341463415	0.627281831	0.178861789	0.047283985	0.40562249	0.469863901	0.064830752	0.148594378	0.840758712	9963.451218	5978500.113	-0.292304473	0.300635528	0.310265695
 	17	17	17031020500	47	80	0.297945612	157.7469112	24.5	268.5053808	95.125	17031020500	17031020500	6545	0.076026119	0.074910394	0.264925373	0.146076146	0.510618793	0.709551399	0.299618029	0.080092861	0.196828358	0.333477696	0.07369403	0.251865672	0.831536803	11692.86802	8306213.723	0.446357742	1.254785172	-0.537216733
 	18	18	17031020601	27	87	0.228316547	118.2568689	24.6	381.049911	94.8	17031020601	17031020601	6130	0.070961248	0.085816448	0.416708606	0.113043478	0.510603589	0.577309278	0.063132137	0.059518694	0.242576749	0.401137245	0.051333669	0.225968797	0.830508475	11240.47229	6365074.57	0.155567893	0.764480201	-0.064401406
 	19	19	17031020602	23	83	0.189975573	121.0681965	32	436.8982744	99.6666667	17031020602	17031020602	4637	0.046829971	0.100050277	0.402737752	0.153345725	0.440802243	0.638814183	0.202717274	0.062536528	0.28962536	0.441254125	0.068443804	0.203170029	0.902282296	9298.594834	5296193.827	0.037194759	0.737577718	0.114197316
 	20	20	17031020701	20	45	0.22834194	87.58793934	28.125	197.0728635	103	17031020701	17031020701	1729	0.019512195	0.051558753	0.583739837	0.081677704	0.315789474	0.431218746	0.126662811	0.043251305	0.513821138	0.479967294	0.027642276	0.069918699	0.908605341	10177.87796	6365782.479	-0.621896296	0.20875749	1.062233584
 	21	21	17031020702	22	89	0.271945828	80.89846496	23.5714286	327.2710628	90.2857143	17031020702	17031020702	7843	0.064196467	0.112016829	0.348125808	0.073957016	0.482468443	0.622868948	0.220961367	0.056534139	0.265833692	0.289315726	0.04222318	0.169754416	0.898967455	12146.01144	7581384.231	-0.037893326	1.112340761	-0.04617718
 	22	22	17031020801	24	69	0.253268637	94.76104209	28.7142857	272.437996	86.1428571	17031020801	17031020801	5211	0.052526263	0.069622445	0.378189095	0.153602534	0.428708501	0.454962914	0.271157168	0.051984219	0.384692346	0.320095949	0.046023012	0.114057029	0.92601893	10626.94529	7060696.135	-0.131911335	0.980734866	0.281303187
 	23	23	17031020802	49	126	0.248660246	197.0560266	26.625	506.715497	80.75	17031020802	17031020802	7857	0.062556256	0.048743336	0.387038704	0.175937904	0.565355734	0.65290593	0.131347843	0.044385194	0.363636364	0.328512397	0.03330333	0.173717372	0.952553329	10528.98975	6932222.065	0.077551466	1.152871377	0.386122311
 	24	24	17031020901	34	102	0.188002915	180.8482594	29.1666667	542.5447781	86.1666667	17031020901	17031020901	5807	0.039936942	0.09527097	0.277456647	0.134461264	0.444635784	0.70012386	0.305148958	0.042055013	0.254860746	0.397329773	0.036258539	0.196531792	0.884126984	9910.958435	5241199.51	-0.051186405	1.196363405	-0.398172519
 	25	25	17031020902	16	68	0.194296017	82.34857418	22.3333333	349.9814402	79	17031020902	17031020902	4474	0.049716803	0.08662614	0.558842039	0.068208092	0.484354046	0.564592793	0.17098793	0.032354541	0.205789805	0.322412737	0.072372561	0.18816866	0.914503133	10835.99988	5416640.424	0.159043498	0.804054016	0.788154083
 	26	26	17031030101	12	27	0.047243523	254.0030748	21.5	571.5069183	94.25	17031030101	17031030101	3549	0.032485876	0.162589928	0.343220339	0.18315508	0.341504649	0.483063858	0.229360383	0.054735547	0.241525424	0.554247534	0.071092279	0.145009416	0.801634263	5279.976157	1317068.552	-0.263896315	0.479763797	-0.64521971
 	27	27	17031030102	12	51	0.043758843	274.2302857	19.6666667	1165.478714	72.3333333	17031030102	17031030102	2766	0.013237728	0.134269663	0.388858246	0.049382716	0.356109906	0.584470607	0.107375271	0.045216741	0.232211804	0.496784566	0.042471042	0.15333701	0.818514453	5337.858357	1219921.647	-0.474368279	0.530371098	-0.340151538
