D_R,poly_id,objectid,geoid,Violent,Property,SqMi,VCDensity,vclag,PCDensity,pclag,TractID,Id2,Total_Pop,PAIProp,OccuProp,OwnerProp,Inc75K_,MandFHH_ch,Unemployment_fixed,ForeignPro,HispProp,SSIProp,BelowProp,BAup,EthnHerter,SameProp,Shape_Leng,Shape_Area,FAC1_1,FAC2_1,FAC3_1,FAC4_1
 ,2.00,2.00,55079186100,87.00,71.00,0.19,446.56,66.33,364.43,56.33,55079186100,55079186100,2092.00,0.09,0.14,0.22,0.06,0.63,0.13,0.08,0.04,0.17,0.48,0.07,0.46,0.81,9583.09,5431375.45,1.73,-0.33,-0.33,0.51
 ,3.00,3.00,55079185800,61.00,51.00,0.17,359.80,72.86,300.82,65.43,55079185800,55079185800,1449.00,0.06,0.02,0.67,0.08,0.24,0.12,0.02,0.04,0.08,0.17,0.13,0.15,0.87,9138.20,4726409.61,0.09,-0.61,0.82,-1.86
 ,4.00,4.00,55079185400,76.00,67.00,0.28,276.16,81.57,243.46,62.29,55079185400,55079185400,1452.00,0.06,0.07,0.37,0.10,0.47,0.16,0.01,0.00,0.18,0.49,0.13,0.28,0.70,11297.90,7672141.57,1.22,-0.90,-0.38,-0.48
 ,5.00,5.00,55079185900,32.00,34.00,0.19,171.83,69.29,182.57,61.00,55079185900,55079185900,1065.00,0.04,0.00,0.42,0.24,0.45,0.09,0.11,0.00,0.16,0.24,0.22,0.47,0.78,9993.28,5191912.40,0.34,-0.47,0.24,-1.50
 ,6.00,6.00,55079000100,185.00,156.00,1.54,120.43,100.00,101.55,108.67,55079000100,55079000100,4469.00,0.04,0.02,0.23,0.16,0.46,0.08,0.02,0.04,0.13,0.32,0.33,0.50,0.82,26666.34,42824275.85,0.65,-0.84,-0.12,-0.85
 ,7.00,7.00,55079016100,51.00,78.00,0.23,223.37,68.50,341.62,91.33,55079016100,55079016100,3624.00,0.02,0.07,0.52,0.11,0.28,0.04,0.26,0.74,0.06,0.27,0.04,0.52,0.96,12911.93,6365227.75,-0.26,2.57,0.56,-1.20
 ,8.00,8.00,55079007000,112.00,99.00,0.26,437.27,56.88,386.52,77.25,55079007000,55079007000,2811.00,0.10,0.09,0.20,0.11,0.40,0.11,0.05,0.08,0.15,0.43,0.06,0.32,0.78,10947.61,7140550.78,1.20,-0.39,-0.50,-0.17
 ,9.00,9.00,55079021200,20.00,27.00,0.75,26.74,24.67,36.10,54.78,55079021200,55079021200,2346.00,0.03,0.07,0.65,0.24,0.10,0.03,0.11,0.18,0.08,0.12,0.16,0.23,0.87,21015.14,20852136.73,-0.37,0.25,0.90,-0.80
 ,10.00,10.00,55079008700,75.00,53.00,0.13,590.05,99.17,416.97,77.00,55079008700,55079008700,1304.00,0.11,0.01,0.36,0.02,0.57,0.06,0.00,0.07,0.27,0.45,0.10,0.02,0.95,7976.99,3543540.61,2.38,-1.02,0.85,-1.10
 ,11.00,11.00,55079008600,73.00,50.00,0.12,626.00,95.17,428.77,72.00,55079008600,55079008600,1004.00,0.06,0.11,0.35,0.08,0.45,0.07,0.00,0.00,0.20,0.35,0.10,0.06,0.94,7945.31,3250993.97,1.49,-0.80,0.52,0.01
 ,12.00,12.00,55079005500,15.00,46.00,0.49,30.89,25.40,94.74,52.60,55079005500,55079005500,3207.00,0.02,0.09,0.86,0.46,0.16,0.03,0.04,0.11,0.00,0.04,0.46,0.35,0.96,22232.73,13535498.04,-1.24,-0.48,1.62,-0.34
 ,13.00,13.00,55079005600,8.00,37.00,0.48,16.73,10.50,77.38,30.00,55079005600,55079005600,2273.00,0.00,0.11,0.77,0.46,0.14,0.02,0.05,0.06,0.03,0.08,0.52,0.32,0.86,16189.74,13330060.34,-1.12,-0.57,1.12,0.29
 ,14.00,14.00,55079005900,123.00,141.00,0.33,377.41,64.00,432.64,72.33,55079005900,55079005900,3563.00,0.04,0.09,0.47,0.22,0.33,0.07,0.04,0.12,0.12,0.21,0.14,0.52,0.90,14052.90,9085611.05,0.09,-0.26,0.47,-0.56
 ,15.00,15.00,55079007100,35.00,87.00,0.14,246.61,53.33,613.00,87.17,55079007100,55079007100,2001.00,0.05,0.07,0.31,0.20,0.24,0.06,0.03,0.06,0.05,0.19,0.48,0.44,0.76,7953.18,3956650.56,-0.60,-0.60,-0.61,-0.31
 ,16.00,16.00,55079007200,33.00,133.00,0.33,101.10,55.50,407.47,95.00,55079007200,55079007200,2895.00,0.03,0.10,0.44,0.30,0.23,0.03,0.03,0.11,0.05,0.16,0.50,0.47,0.86,14712.61,9099588.69,-0.70,-0.50,0.14,0.12
 ,17.00,17.00,55079019500,12.00,18.00,0.51,23.71,19.50,35.57,23.00,55079019500,55079019500,3520.00,0.00,0.08,0.74,0.48,0.25,0.04,0.05,0.12,0.04,0.09,0.20,0.18,0.87,16049.89,14107533.01,-0.86,-0.32,1.26,-0.78
 ,18.00,18.00,55079101600,0.00,0.00,0.00,0.00,23.33,0.00,45.67,55079101600,55079101600,4463.00,0.01,0.11,0.55,0.24,0.08,0.04,0.07,0.19,0.03,0.10,0.22,0.27,0.92,3280.59,101964.46,-0.86,0.24,0.52,-0.39
 ,19.00,19.00,55079013600,76.00,75.00,0.15,503.60,98.40,496.98,73.80,55079013600,55079013600,2238.00,0.12,0.05,0.07,0.03,0.39,0.10,0.01,0.16,0.17,0.49,0.11,0.49,0.76,9020.51,4207179.40,1.62,-0.55,-0.74,-0.45
 ,20.00,20.00,55079016000,70.00,109.00,0.15,458.45,73.75,713.87,105.75,55079016000,55079016000,3289.00,0.04,0.11,0.29,0.02,0.45,0.10,0.20,0.58,0.10,0.44,0.05,0.72,0.84,8598.37,4256733.06,0.74,1.80,-0.32,-0.21
 ,21.00,21.00,55079018500,17.00,86.00,0.72,23.47,32.56,118.73,53.56,55079018500,55079018500,2013.00,0.01,0.18,0.76,0.38,0.17,0.02,0.12,0.28,0.00,0.12,0.26,0.27,0.94,21630.47,20192627.07,-0.84,0.62,1.24,0.83
 ,22.00,22.00,55079014600,43.00,33.00,0.16,275.41,54.00,211.36,88.80,55079014600,55079014600,3720.00,0.05,0.07,0.01,0.00,0.44,0.03,0.06,0.06,0.22,0.66,0.26,0.46,0.50,8683.60,4352654.78,1.59,-0.59,-1.92,0.21
 ,23.00,23.00,55079187400,43.00,183.00,0.67,64.49,54.75,274.47,122.25,55079187400,55079187400,3249.00,0.02,0.22,0.43,0.58,0.06,0.02,0.06,0.06,0.00,0.09,0.79,0.22,0.66,21992.92,18587499.48,-1.64,-0.65,-0.56,2.65
