Id2,Total,Unemployed,UnemployedProp 
17031010100,3547,211,0.05948689
17031010201,5617,275,0.048958519
17031010202,2095,94,0.044868735
17031010300,5655,235,0.041556145
17031010400,4783,253,0.052895672
17031010501,3643,285,0.078232226
17031010502,2426,80,0.032976092
17031010503,1905,62,0.032545932
17031010600,5607,505,0.090065989
17031010701,2986,106,0.035498995
17031010702,4027,172,0.042711696
17031020100,3354,253,0.07543232
17031020200,4997,246,0.049229538
17031020301,3861,157,0.040663041
17031020302,3865,328,0.084864166
17031020400,3553,168,0.047283985
17031020500,5169,414,0.080092861
17031020601,4654,277,0.059518694
17031020602,3422,214,0.062536528
17031020701,1341,58,0.043251305
17031020702,5961,337,0.056534139
17031020801,4309,224,0.051984219
17031020802,6376,283,0.044385194
17031020901,4399,185,0.042055013
17031020902,3678,119,0.032354541
17031030101,3252,178,0.054735547
17031030102,2676,121,0.045216741
17031030103,2136,124,0.058052434
17031030104,3306,241,0.072897762
17031030200,4595,214,0.046572361
17031030300,2768,146,0.052745665
17031030400,2351,254,0.108039132
17031030500,5757,96,0.016675352
17031030601,3478,53,0.015238643
17031030603,1787,42,0.023503078
17031030604,2908,93,0.031980743
17031030701,1459,80,0.054832077
17031030702,945,73,0.077248677
17031030703,2538,89,0.035066982
17031030706,3836,193,0.050312826
17031030800,3846,64,0.016640666
17031030900,2839,80,0.028178936
17031031000,3573,145,0.040582144
17031031100,4341,185,0.042616909
17031031200,4788,128,0.0267335
17031031300,7182,253,0.035226956
17031031400,4706,99,0.021036974
17031031501,3389,247,0.072882856
17031031502,3854,308,0.079916969
17031031700,6108,445,0.072855272
17031031800,1534,41,0.02672751
17031031900,2308,123,0.053292894
17031032100,6680,281,0.042065868
17031040100,3230,57,0.017647059
17031040201,6061,191,0.031512952
17031040202,6034,113,0.018727212
17031040300,2598,171,0.065819861
17031040401,2739,111,0.040525739
17031040402,4105,90,0.021924482
17031040600,2220,131,0.059009009
17031040700,2827,94,0.033250796
17031040800,1527,23,0.015062213
17031040900,1705,17,0.009970674
17031050100,2225,87,0.039101124
17031050200,3960,103,0.026010101
17031050300,2053,131,0.06380906
17031050500,4629,93,0.020090732
17031050600,1966,60,0.03051882
17031050700,1286,14,0.01088647
17031050800,1119,53,0.047363718
17031050900,1112,32,0.028776978
17031051000,1347,12,0.008908686
17031051100,1244,6,0.004823151
17031051200,1248,31,0.024839744
17031051300,2101,63,0.029985721
17031051400,1456,49,0.033653846
17031060100,2212,25,0.011301989
17031060200,1932,69,0.035714286
17031060300,2705,73,0.026987061
17031060400,3194,77,0.024107702
17031060500,1133,21,0.018534863
17031060800,4454,168,0.037718904
17031060900,6900,302,0.043768116
17031061000,1967,36,0.018301983
17031061100,1308,11,0.008409786
17031061200,1632,36,0.022058824
17031061500,1709,45,0.026331188
17031061800,1125,44,0.039111111
17031061901,3267,124,0.037955311
17031061902,4331,181,0.041791734
17031062000,2826,56,0.019815994
17031062100,3485,96,0.027546628
17031062200,2536,97,0.038249211
17031062300,1406,41,0.02916074
17031062400,1201,29,0.024146545
17031062500,1333,24,0.018004501
17031062600,1727,71,0.041111754
17031062700,2283,25,0.010950504
17031062800,3097,52,0.016790442
17031062900,3523,64,0.018166336
17031063000,2862,93,0.032494759
17031063100,2073,53,0.025566811
17031063200,6529,127,0.019451677
17031063301,2486,8,0.003218021
17031063302,3944,18,0.004563895
17031063303,1269,25,0.019700552
17031063400,2034,27,0.013274336
17031070101,3336,111,0.033273381
17031070102,2735,66,0.024131627
17031070103,1503,58,0.038589488
17031070200,3585,61,0.017015342
17031070300,3177,92,0.028958137
17031070400,2948,0,0
17031070500,2720,81,0.029779412
17031070600,2622,44,0.016781083
17031070700,3419,68,0.019888856
17031071000,4091,160,0.039110242
17031071100,2802,84,0.029978587
17031071200,1631,18,0.011036174
17031071300,3097,68,0.021956732
17031071400,4449,60,0.013486177
17031071500,5436,90,0.016556291
17031071600,1308,71,0.054281346
17031071700,1518,38,0.025032938
17031071800,2219,51,0.022983326
17031080100,6324,210,0.033206831
17031080201,3198,164,0.051282051
17031080202,3152,129,0.040926396
17031080300,4047,69,0.017049666
17031080400,3168,245,0.077335859
17031081000,7477,189,0.025277518
17031081100,3870,154,0.039793282
17031081201,4432,126,0.028429603
17031081202,2807,65,0.023156395
17031081300,5057,127,0.025113704
17031081401,2263,63,0.027839152
17031081402,4620,83,0.017965368
17031081403,7189,181,0.025177354
17031081500,4702,84,0.017864738
17031081600,3629,112,0.030862497
17031081700,3365,125,0.037147103
17031081800,8184,155,0.018939394
17031081900,776,11,0.014175258
17031090100,2764,48,0.017366136
17031090200,5491,140,0.025496267
17031090300,1089,5,0.004591368
17031100100,4439,297,0.066906961
17031100200,5650,126,0.022300885
17031100300,5427,59,0.010871568
17031100400,2513,97,0.038599284
17031100500,4466,19,0.004254366
17031100600,3964,168,0.042381433
17031100700,3966,144,0.036308623
17031110100,4063,236,0.058085159
17031110200,2713,159,0.058606708
17031110300,4360,66,0.015137615
17031110400,3890,155,0.039845758
17031110501,4361,141,0.032332034
17031110502,2813,102,0.03626022
17031120100,2960,9,0.003040541
17031120200,3654,121,0.033114395
17031120300,5166,132,0.025551684
17031120400,2856,106,0.037114846
17031130100,4186,40,0.009555662
17031130200,1271,62,0.048780488
17031130300,4491,338,0.075261634
17031140100,2616,175,0.066896024
17031140200,5288,123,0.023260212
17031140301,2165,72,0.033256351
17031140302,3314,197,0.05944478
17031140400,5514,233,0.042256075
17031140500,3208,173,0.053927681
17031140601,2298,132,0.057441253
17031140602,4194,287,0.068431092
17031140701,2220,111,0.05
17031140702,4842,300,0.061957869
17031140800,5683,257,0.045222594
17031150200,6452,386,0.05982641
17031150300,6840,160,0.023391813
17031150401,4016,170,0.042330677
17031150402,3162,177,0.05597723
17031150501,3320,232,0.069879518
17031150502,3269,185,0.05659223
17031150600,3188,111,0.034818068
17031150700,3355,117,0.034873323
17031150800,4122,245,0.059437166
17031151001,2013,78,0.038748137
17031151002,3416,181,0.052985948
17031151100,4375,197,0.045028571
17031151200,3096,151,0.04877261
17031160100,2121,164,0.077322018
17031160200,2586,33,0.012761021
17031160300,3313,138,0.04165409
17031160400,3860,213,0.055181347
17031160501,3182,88,0.027655563
17031160502,3118,146,0.046824888
17031160601,2868,52,0.018131102
17031160602,2868,86,0.029986053
17031160700,5522,274,0.049619703
17031160800,4267,201,0.047105695
17031160900,1995,107,0.053634085
17031161000,1567,61,0.038927888
17031161100,1468,25,0.017029973
17031161200,2449,75,0.030624745
17031161300,3028,151,0.0498679
17031170100,1697,32,0.018856806
17031170200,3304,108,0.032687651
17031170300,4246,82,0.019312294
17031170400,3105,65,0.020933977
17031170500,4552,183,0.040202109
17031170600,2124,88,0.041431262
17031170700,2414,86,0.035625518
17031170800,3383,123,0.036358262
17031170900,1533,63,0.04109589
17031171000,6240,305,0.048878205
17031171100,3028,63,0.020805812
17031180100,5073,200,0.039424404
17031190100,1917,112,0.058424622
17031190200,4108,146,0.035540409
17031190300,4299,279,0.064898814
17031190401,3121,300,0.096123037
17031190402,4281,337,0.078719925
17031190601,3670,255,0.069482289
17031190602,4600,247,0.053695652
17031190701,2097,120,0.057224607
17031190702,3761,262,0.069662324
17031190800,5489,425,0.077427582
17031190900,1707,26,0.0152314
17031191000,2022,143,0.070722057
17031191100,5689,275,0.0483389
17031191200,2695,111,0.041187384
17031191301,4050,266,0.065679012
17031191302,3896,314,0.080595483
17031200100,3272,107,0.032701711
17031200200,4046,174,0.043005437
17031200300,1631,120,0.073574494
17031200401,2650,250,0.094339623
17031200402,3154,100,0.03170577
17031210100,2911,112,0.038474751
17031210400,2215,87,0.039277652
17031210501,2831,181,0.063935005
17031210502,3647,171,0.046887853
17031210601,2288,66,0.028846154
17031210602,3341,86,0.025740796
17031210700,3452,172,0.049826188
17031210800,952,17,0.017857143
17031210900,2251,52,0.023100844
17031220300,1791,86,0.048017867
17031220400,2265,21,0.009271523
17031220500,2285,45,0.019693654
17031220601,1456,35,0.024038462
17031220602,4377,167,0.038153987
17031220701,2448,114,0.046568627
17031220702,2955,68,0.023011844
17031220901,2252,126,0.055950266
17031220902,2377,78,0.032814472
17031221000,2203,164,0.07444394
17031221100,4587,147,0.03204709
17031221200,2773,100,0.036062027
17031221300,2533,117,0.046190288
17031221400,2489,51,0.020490157
17031221500,2405,83,0.034511435
17031221600,2593,51,0.019668338
17031222200,1747,59,0.033772181
17031222500,1378,67,0.04862119
17031222600,1308,61,0.046636086
17031222700,2110,85,0.04028436
17031222800,754,5,0.0066313
17031222900,731,34,0.046511628
17031230100,1408,70,0.049715909
17031230200,1503,111,0.073852295
17031230300,674,26,0.038575668
17031230400,1926,165,0.085669782
17031230500,2893,111,0.038368476
17031230600,4710,634,0.134607219
17031230700,4023,138,0.034302759
17031230800,1048,94,0.089694656
17031230900,4013,286,0.071268378
17031231100,976,164,0.168032787
17031231200,4431,341,0.076957797
17031231500,5072,339,0.066837539
17031240200,1386,19,0.013708514
17031240300,1042,21,0.020153551
17031240500,2035,8,0.003931204
17031240600,1296,71,0.054783951
17031240700,1321,66,0.04996215
17031240800,1291,78,0.06041828
17031240900,854,33,0.038641686
17031241000,1683,66,0.039215686
17031241100,3316,204,0.061519903
17031241200,1635,16,0.009785933
17031241300,1701,85,0.049970606
17031241400,4472,52,0.011627907
17031241500,2488,54,0.02170418
17031241600,3290,142,0.043161094
17031242000,4494,257,0.057187361
17031242100,3381,115,0.034013605
17031242200,3066,81,0.026418787
17031242300,2762,80,0.028964518
17031242400,2686,81,0.030156366
17031242500,3043,139,0.045678607
17031242600,4934,330,0.066882854
17031242700,1350,122,0.09037037
17031242800,1226,77,0.062805873
17031242900,1393,6,0.004307251
17031243000,2076,77,0.037090559
17031243100,1977,57,0.028831563
17031243200,1888,49,0.02595339
17031243300,2056,61,0.029669261
17031243400,2364,96,0.040609137
17031243500,2839,145,0.051074322
17031250200,2096,285,0.135973282
17031250300,3493,246,0.070426567
17031250400,3494,264,0.0755581
17031250500,6118,475,0.077639752
17031250600,3525,287,0.08141844
17031250700,4316,320,0.074142725
17031250800,1789,146,0.081609838
17031251000,726,82,0.112947658
17031251100,3246,182,0.056069008
17031251200,3560,409,0.11488764
17031251300,3782,421,0.111316764
17031251400,3632,216,0.059471366
17031251500,3408,429,0.125880282
17031251600,3108,149,0.047940798
17031251700,979,96,0.098059244
17031251800,3510,365,0.103988604
17031251900,3335,535,0.16041979
17031252000,4572,177,0.038713911
17031252101,1111,74,0.066606661
17031252102,5076,362,0.071315997
17031252201,2488,225,0.090434084
17031252202,3341,359,0.107452858
17031260100,962,102,0.106029106
17031260200,865,90,0.104046243
17031260300,1201,158,0.131557036
17031260400,877,105,0.11972634
17031260500,1167,72,0.061696658
17031260600,1295,181,0.13976834
17031260700,1176,65,0.055272109
17031260800,1949,161,0.082606465
17031260900,964,94,0.097510373
17031261000,1796,111,0.061804009
17031270500,1240,151,0.121774194
17031271200,959,67,0.069864442
17031271300,763,85,0.111402359
17031271400,1028,75,0.072957198
17031271500,1118,71,0.063506261
17031271800,487,34,0.069815195
17031280100,6255,179,0.028617106
17031280400,1160,105,0.090517241
17031280800,847,140,0.165289256
17031280900,674,136,0.201780415
17031281900,5367,170,0.031675051
17031282700,1786,164,0.091825308
17031282800,1440,82,0.056944444
17031283100,2519,104,0.041286225
17031283200,1382,58,0.041968162
17031283800,2994,307,0.10253841
17031290900,3016,502,0.166445623
17031291200,1864,292,0.156652361
17031291600,791,8,0.01011378
17031292200,2244,284,0.126559715
17031292400,1907,71,0.037231253
17031292500,3077,362,0.117647059
17031300500,2090,86,0.041148325
17031300600,2341,162,0.069201196
17031300700,3415,126,0.036896047
17031300800,2817,165,0.05857295
17031300900,3279,49,0.01494358
17031301100,1796,157,0.087416481
17031301200,2278,196,0.086040386
17031301600,3533,227,0.064251344
17031301701,2722,121,0.044452608
17031301702,3235,148,0.045749614
17031301801,2755,107,0.038838475
17031301802,2431,188,0.07733443
17031301803,3949,173,0.043808559
17031310200,1241,30,0.024174053
17031310300,1444,168,0.11634349
17031310400,950,4,0.004210526
17031310500,1135,37,0.032599119
17031310600,3870,80,0.020671835
17031310700,1287,85,0.066045066
17031310800,3581,98,0.027366657
17031310900,4002,293,0.073213393
17031320100,11945,332,0.027794056
17031320400,3128,127,0.040601023
17031320600,4282,192,0.04483886
17031330100,16399,436,0.026586987
17031330200,3127,40,0.012791813
17031340300,1511,102,0.067504964
17031340400,1839,91,0.049483415
17031340500,1459,100,0.068540096
17031340600,707,150,0.212164074
17031350100,2147,106,0.049371216
17031350400,1176,243,0.206632653
17031351000,3535,223,0.063083451
17031351100,1330,219,0.164661654
17031351400,1409,370,0.262597587
17031351500,447,58,0.129753915
17031360200,1088,157,0.144301471
17031380100,1538,171,0.111183355
17031380200,1684,41,0.024346793
17031380500,581,104,0.179001721
17031380700,1108,109,0.098375451
17031381200,1490,53,0.03557047
17031381400,1226,117,0.0954323
17031381500,257,26,0.101167315
17031381700,0,0,#DIV/0!
17031381800,916,43,0.046943231
17031381900,1054,73,0.069259962
17031390100,1104,36,0.032608696
17031390200,1378,101,0.07329463
17031390300,2033,268,0.131824889
17031390400,2191,176,0.080328617
17031390500,1232,63,0.051136364
17031390600,1502,68,0.045272969
17031390700,5031,265,0.052673425
17031400300,877,140,0.15963512
17031400400,1416,268,0.189265537
17031400500,1275,215,0.168627451
17031400800,1890,143,0.075661376
17031410100,1846,124,0.067172264
17031410200,1411,66,0.046775337
17031410500,2253,119,0.052818464
17031410600,2304,56,0.024305556
17031410700,1793,106,0.059118795
17031410800,2542,98,0.038552321
17031410900,2632,89,0.03381459
17031411000,3041,116,0.038145347
17031411100,1889,27,0.014293277
17031411200,1427,43,0.030133146
17031420100,1096,33,0.030109489
17031420200,1306,84,0.06431853
17031420300,2439,186,0.076260763
17031420400,1006,75,0.074552684
17031420500,1304,191,0.146472393
17031420600,1520,213,0.140131579
17031420700,2362,364,0.154106689
17031420800,1430,115,0.08041958
17031421200,1094,96,0.087751371
17031430101,2926,388,0.132604238
17031430102,2631,149,0.056632459
17031430200,3755,345,0.091877497
17031430300,1459,198,0.13570939
17031430400,2103,226,0.107465525
17031430500,2618,286,0.109243697
17031430600,1361,116,0.085231447
17031430700,2062,166,0.080504365
17031430800,1345,148,0.110037175
17031430900,1105,91,0.082352941
17031431200,2471,235,0.095103197
17031431301,2486,458,0.184231698
17031431302,2899,472,0.162814764
17031431400,5434,574,0.105631211
17031440101,2883,430,0.149150191
17031440102,2547,257,0.100903023
17031440201,3802,509,0.133876907
17031440202,2946,229,0.077732519
17031440300,4061,537,0.13223344
17031440600,1661,157,0.094521373
17031440700,1242,185,0.148953301
17031440800,1219,128,0.105004102
17031440900,1828,115,0.062910284
17031450300,3006,304,0.101131071
17031460100,2327,458,0.19681994
17031460200,1964,204,0.103869654
17031460301,2171,239,0.110087517
17031460302,2648,453,0.171072508
17031460400,2706,201,0.074279379
17031460500,4189,346,0.082597279
17031460600,826,96,0.11622276
17031460700,1792,329,0.18359375
17031461000,1247,78,0.06255012
17031470100,1953,249,0.12749616
17031480100,1980,101,0.051010101
17031480200,992,77,0.077620968
17031480300,1013,117,0.115498519
17031480400,5035,309,0.061370407
17031480500,2590,192,0.074131274
17031490300,1808,64,0.03539823
17031490400,774,70,0.090439276
17031490500,1711,210,0.122735243
17031490600,1327,166,0.125094197
17031490700,2250,393,0.174666667
17031490800,3503,486,0.138738224
17031490901,3037,497,0.163648337
17031490902,4133,361,0.087345754
17031491000,3333,779,0.233723372
17031491100,3758,305,0.081160192
17031491200,1640,200,0.12195122
17031491300,1894,343,0.181098205
17031491400,2316,441,0.190414508
17031500100,2700,161,0.05962963
17031500200,1540,321,0.208441558
17031500300,1236,132,0.106796117
17031510100,2419,266,0.109962795
17031510200,2451,266,0.108527132
17031510300,4201,594,0.141394906
17031520100,1446,99,0.06846473
17031520200,2617,381,0.145586549
17031520300,4338,666,0.153526971
17031520400,3328,358,0.107572115
17031520500,3873,316,0.081590498
17031520600,2155,181,0.083990719
17031530100,1778,222,0.124859393
17031530200,3094,525,0.169683258
17031530300,3615,630,0.174273859
17031530400,1600,202,0.12625
17031530501,3560,314,0.088202247
17031530502,1201,181,0.150707744
17031530503,4413,840,0.190346703
17031530600,2072,327,0.157818533
17031540101,2406,579,0.240648379
17031540102,2145,397,0.185081585
17031550100,5525,279,0.050497738
17031550200,2128,109,0.051221805
17031560100,1288,57,0.044254658
17031560200,1498,267,0.17823765
17031560300,2528,161,0.063686709
17031560400,1336,104,0.077844311
17031560700,2725,233,0.085504587
17031560800,4758,343,0.072089113
17031560900,4440,103,0.023198198
17031561000,4536,190,0.041887125
17031561100,4424,212,0.047920434
17031570100,1001,52,0.051948052
17031570200,1666,129,0.077430972
17031570300,4121,287,0.06964329
17031570400,1374,109,0.079330422
17031570500,1730,28,0.016184971
17031580100,2179,166,0.076181735
17031580200,2553,143,0.056012534
17031580300,2075,133,0.064096386
17031580400,3358,57,0.01697439
17031580501,3512,240,0.06833713
17031580502,3973,262,0.06594513
17031580600,3881,366,0.094305591
17031580700,4643,429,0.092397157
17031580800,1630,162,0.099386503
17031590500,1513,139,0.091870456
17031590600,2664,278,0.104354354
17031590700,2391,108,0.045169385
17031600400,3831,322,0.084051162
17031600600,2370,97,0.04092827
17031600700,2298,266,0.115752829
17031600900,3081,162,0.052580331
17031610300,4047,397,0.098097356
17031610400,1362,191,0.140234949
17031610800,1217,109,0.089564503
17031611000,664,57,0.085843373
17031611100,1713,220,0.128429656
17031611200,1820,145,0.07967033
17031611300,1873,214,0.114255206
17031611400,2371,176,0.074230283
17031611500,2415,201,0.083229814
17031611600,1143,164,0.143482065
17031611700,1102,149,0.135208711
17031611800,1696,315,0.185731132
17031611900,1222,119,0.097381342
17031612000,1053,242,0.229819563
17031612100,832,154,0.185096154
17031620100,3639,332,0.091233855
17031620200,1910,155,0.081151832
17031620300,5612,527,0.093905916
17031620400,3300,116,0.035151515
17031630100,659,60,0.091047041
17031630200,1460,89,0.060958904
17031630300,4015,374,0.093150685
17031630400,5122,461,0.090003905
17031630500,4603,266,0.057788399
17031630800,5292,486,0.091836735
17031630900,3613,324,0.089676169
17031640100,1247,42,0.033680834
17031640300,5319,400,0.075202106
17031640400,2982,121,0.040576794
17031640500,3120,134,0.042948718
17031640600,3425,317,0.092554745
17031640700,2637,185,0.07015548
17031640800,1361,147,0.108008817
17031650100,3237,278,0.085881989
17031650200,5495,494,0.089899909
17031650301,3976,340,0.085513078
17031650302,3208,238,0.074189526
17031650400,5205,551,0.10585975
17031650500,3444,252,0.073170732
17031660301,1149,265,0.230635335
17031660302,3925,466,0.118726115
17031660400,4461,366,0.082044385
17031660500,3650,291,0.079726027
17031660600,4700,804,0.17106383
17031660700,1729,301,0.174089069
17031660800,3762,409,0.108718767
17031660900,3498,719,0.205546026
17031661000,4208,897,0.213165399
17031661100,4899,545,0.111247193
17031670100,931,158,0.169709989
17031670200,688,85,0.123546512
17031670300,870,115,0.132183908
17031670400,1337,205,0.153328347
17031670500,880,140,0.159090909
17031670600,923,199,0.2156013
17031670700,931,140,0.15037594
17031670800,973,102,0.104830421
17031670900,1262,343,0.271790808
17031671100,645,78,0.120930233
17031671200,771,196,0.254215305
17031671300,1659,330,0.198915009
17031671400,1188,234,0.196969697
17031671500,2063,311,0.150751333
17031671600,1650,322,0.195151515
17031671800,947,109,0.115100317
17031671900,906,114,0.125827815
17031672000,3281,511,0.1557452
17031680500,992,206,0.20766129
17031680600,1056,201,0.190340909
17031680900,2356,293,0.124363328
17031681000,2192,220,0.100364964
17031681100,2179,499,0.22900413
17031681200,1802,406,0.225305216
17031681300,1610,330,0.204968944
17031681400,2032,270,0.132874016
17031690300,1762,155,0.087968218
17031690400,2866,228,0.079553385
17031690500,599,57,0.095158598
17031690900,3559,317,0.089069963
17031691000,2122,246,0.115928369
17031691100,2601,372,0.143021915
17031691200,2260,261,0.115486726
17031691300,2214,476,0.214995483
17031691400,2343,174,0.074263764
17031691500,1519,286,0.188281764
17031700100,2559,177,0.069167644
17031700200,4780,415,0.086820084
17031700301,4911,397,0.080838933
17031700302,4260,363,0.085211268
17031700401,4736,393,0.082981419
17031700402,3276,438,0.133699634
17031700501,6163,352,0.057115041
17031700502,2656,369,0.138930723
17031710100,907,229,0.252480706
17031710200,3623,596,0.164504554
17031710300,1100,224,0.203636364
17031710400,4335,547,0.126182238
17031710500,3377,426,0.126147468
17031710600,1362,112,0.082232012
17031710700,2430,211,0.086831276
17031710800,3952,412,0.104251012
17031710900,1624,332,0.204433498
17031711000,2695,258,0.095732839
17031711100,1933,122,0.06311433
17031711200,4181,269,0.064338675
17031711300,1480,210,0.141891892
17031711400,2002,177,0.088411588
17031711500,2124,251,0.118173258
17031720100,2597,99,0.038120909
17031720200,3314,121,0.036511768
17031720300,3317,121,0.036478746
17031720400,1505,94,0.062458472
17031720500,1692,14,0.008274232
17031720600,1334,56,0.04197901
17031720700,2625,162,0.061714286
17031730100,2190,323,0.147488584
17031730201,4967,455,0.09160459
17031730202,2970,506,0.17037037
17031730300,938,77,0.082089552
17031730400,3439,255,0.074149462
17031730500,3582,471,0.131490787
17031730600,2949,178,0.060359444
17031730700,1846,179,0.096966414
17031740100,2410,67,0.02780083
17031740200,5254,51,0.00970689
17031740300,3759,63,0.016759777
17031740400,3752,131,0.034914712
17031750100,3439,241,0.070078511
17031750200,2366,116,0.049027895
17031750300,1889,79,0.041821069
17031750400,2577,102,0.039580908
17031750500,4995,424,0.084884885
17031750600,2635,236,0.089563567
17031760801,3424,145,0.042348131
17031760802,2213,79,0.035698147
17031760803,4735,301,0.063569166
17031770201,4913,281,0.057195196
17031770202,4180,149,0.035645933
17031770300,5694,260,0.0456621
17031770400,3920,172,0.043877551
17031770500,2813,102,0.03626022
17031770601,2844,70,0.024613221
17031770602,4205,197,0.046848989
17031770700,2239,115,0.051362215
17031770800,4589,198,0.043146655
17031770901,4359,125,0.028676302
17031770902,3065,57,0.018597064
17031800100,1847,13,0.007038441
17031800200,4636,37,0.007981018
17031800300,2524,0,0
17031800400,2778,58,0.02087833
17031800500,3542,58,0.016374929
17031800600,1765,63,0.035694051
17031800700,3703,93,0.025114772
17031800800,1857,12,0.006462036
17031800900,3484,107,0.030711825
17031801000,3841,100,0.026034887
17031801100,3282,44,0.013406459
17031801200,2790,101,0.036200717
17031801300,3291,80,0.024308721
17031801400,2306,33,0.014310494
17031801500,4966,75,0.015102698
17031801601,3868,109,0.028179938
17031801603,3232,46,0.014232673
17031801605,4423,51,0.011530635
17031801606,4905,97,0.019775739
17031801607,4350,79,0.01816092
17031801608,5754,125,0.021724018
17031801701,2829,33,0.011664899
17031801702,3477,71,0.020419902
17031801800,4853,127,0.02616938
17031801901,3583,134,0.037398828
17031801902,2711,32,0.011803762
17031802002,4119,72,0.017479971
17031802003,1997,53,0.02653981
17031802004,4007,185,0.046169204
17031802100,2529,89,0.035191775
17031802200,3577,105,0.029354207
17031802300,4068,63,0.015486726
17031802402,4573,158,0.034550623
17031802403,1322,22,0.016641452
17031802404,5936,172,0.028975741
17031802503,4683,249,0.053171044
17031802504,5579,141,0.025273346
17031802505,4799,129,0.0268806
17031802506,2041,51,0.024987751
17031802605,5906,177,0.029969523
17031802607,1146,9,0.007853403
17031802608,5485,143,0.026071103
17031802609,5270,55,0.010436433
17031802610,1425,24,0.016842105
17031802701,5430,199,0.03664825
17031802702,3829,109,0.028466963
17031802801,3790,181,0.047757256
17031802802,5024,134,0.026671975
17031802900,4709,108,0.022934806
17031803005,2209,65,0.029425079
17031803007,4105,86,0.020950061
17031803008,3561,93,0.026116259
17031803010,4153,119,0.028653985
17031803012,1846,87,0.047128927
17031803013,4446,180,0.04048583
17031803014,2882,123,0.042678695
17031803015,3572,83,0.023236282
17031803016,1962,42,0.021406728
17031803017,5286,58,0.01097238
17031803100,2600,46,0.017692308
17031803200,4478,169,0.037740063
17031803300,4994,156,0.031237485
17031803400,4744,153,0.032251265
17031803500,4640,170,0.036637931
17031803603,5323,93,0.017471351
17031803604,3512,76,0.021640091
17031803605,5783,245,0.042365554
17031803606,6498,277,0.042628501
17031803607,3949,118,0.029880983
17031803608,5923,196,0.033091339
17031803610,5603,155,0.027663752
17031803611,4608,280,0.060763889
17031803612,2571,76,0.029560482
17031803701,2405,64,0.026611227
17031803702,4900,155,0.031632653
17031803800,3650,93,0.025479452
17031803901,2912,159,0.054601648
17031803902,2761,78,0.028250634
17031804000,3855,126,0.032684825
17031804102,5648,84,0.014872521
17031804104,3800,119,0.031315789
17031804105,3241,37,0.01141623
17031804106,5889,219,0.037187978
17031804108,3361,149,0.044332044
17031804109,2412,16,0.006633499
17031804201,6674,225,0.033712916
17031804202,5883,126,0.021417644
17031804305,6103,298,0.048828445
17031804306,4397,261,0.059358654
17031804308,4598,184,0.040017399
17031804309,2495,131,0.05250501
17031804310,7251,273,0.037649979
17031804311,6263,146,0.023311512
17031804403,5348,264,0.049364248
17031804404,3876,238,0.061403509
17031804405,2309,155,0.067128627
17031804406,5045,211,0.041823588
17031804505,2693,100,0.037133309
17031804506,4106,49,0.011933755
17031804507,9719,297,0.030558699
17031804508,1798,132,0.073414905
17031804509,4790,197,0.041127349
17031804510,4683,264,0.056374119
17031804511,1940,47,0.024226804
17031804603,4912,106,0.021579805
